ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
80428,"Richard Charles ""Rick"" Mitchell",M,25,183,71,Australia,AUS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,Silver
116419,John Zoltan Sumegi,M,25,182,85,Australia,AUS,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
15006,Graeme Thomas Brewer,M,21,192,96,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Freestyle,Bronze
15387,Neil Brooks,M,17,198,96,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
33467,Peter Maxwell Evans,M,18,190,77,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
33467,Peter Maxwell Evans,M,18,190,77,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
36236,Michelle Jan Ford (-Eriksson),F,18,159,54,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 800 metres Freestyle,Gold
36236,Michelle Jan Ford (-Eriksson),F,18,159,54,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Butterfly,Bronze
58861,"Marcus Anthony ""Mark"" Kerry",M,20,182,81,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Backstroke,Bronze
58861,"Marcus Anthony ""Mark"" Kerry",M,20,182,81,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
79143,"Maxwell Raymond ""Max"" Metzker",M,20,179,70,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
91999,Glenn Scott Patching,M,22,189,84,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
